pk_dt_abertura,data,ano,mes,nu_mes
4015,21/02/1990,1990,FEV,2
4017,04/01/1994,1994,JAN,1
4019,20/03/2007,2007,MAR,3
4021,29/05/2002,2002,MAI,5
4023,01/08/2003,2003,AGO,8
11262,07/08/1997,1997,AGO,8
13884,05/03/1990,1990,MAR,3
13893,24/08/1973,1973,AGO,8
13908,11/11/1977,1977,NOV,11
4032,05/11/1996,1996,NOV,11
4034,22/04/1991,1991,ABR,4
13922,04/02/2011,2011,FEV,2
12796,11/12/2000,2000,DEZ,12
4039,16/06/2012,2012,JUN,6
4041,23/12/2009,2009,DEZ,12
5173,14/03/1985,1985,MAR,3
13945,01/06/1999,1999,JUN,6
3154,22/12/2010,2010,DEZ,12
13949,10/02/1982,1982,FEV,2
1292,24/01/2011,2011,JAN,1
1022,10/08/2011,2011,AGO,8
4051,04/05/1998,1998,MAI,5
13343,15/02/1993,1993,FEV,2
13956,31/03/1997,1997,MAR,3
4056,20/01/2010,2010,JAN,1
4058,07/05/2011,2011,MAI,5
13976,03/06/1996,1996,JUN,6
4062,14/09/2009,2009,SET,9
11694,05/04/1995,1995,ABR,4
3241,16/01/2008,2008,JAN,1
12452,12/05/1983,1983,MAI,5
11106,04/08/2005,2005,AGO,8
12763,21/07/1980,1980,JUL,7
4069,25/06/1996,1996,JUN,6
1365,10/09/2010,2010,SET,9
13981,11/11/1985,1985,NOV,11
9510,19/03/1982,1982,MAR,3
11483,07/02/2001,2001,FEV,2
13990,12/07/2006,2006,JUL,7
103,05/06/2006,2006,JUN,6
4079,24/01/1996,1996,JAN,1
14004,19/03/2004,2004,MAR,3
4083,18/03/2011,2011,MAR,3
13060,02/12/1977,1977,DEZ,12
4086,06/10/2009,2009,OUT,10
14026,09/11/2009,2009,NOV,11
4090,13/10/2005,2005,OUT,10
14040,20/02/2008,2008,FEV,2
4094,18/08/2009,2009,AGO,8
4096,14/12/2007,2007,DEZ,12
4098,11/04/2000,2000,ABR,4
4100,30/09/2009,2009,SET,9
14126,18/12/1979,1979,DEZ,12
4103,17/01/1996,1996,JAN,1
14056,21/08/2001,2001,AGO,8
11824,16/12/1975,1975,DEZ,12
14062,04/09/1987,1987,SET,9
14064,03/04/2002,2002,ABR,4
4112,26/10/1983,1983,OUT,10
11167,17/03/2003,2003,MAR,3
4115,31/01/1997,1997,JAN,1
1397,06/09/2011,2011,SET,9
14078,18/03/2008,2008,MAR,3
10078,16/09/2011,2011,SET,9
14083,13/06/2000,2000,JUN,6
14085,18/11/2009,2009,NOV,11
14099,27/04/1998,1998,ABR,4
14106,20/03/1987,1987,MAR,3
2332,02/09/1983,1983,SET,9
13607,20/11/2002,2002,NOV,11
14111,08/09/1980,1980,SET,9
4133,11/07/2005,2005,JUL,7
4135,16/02/2005,2005,FEV,2
4137,18/08/2011,2011,AGO,8
13685,05/02/1980,1980,FEV,2
1385,05/08/2011,2011,AGO,8
4141,03/01/2005,2005,JAN,1
4143,19/11/2009,2009,NOV,11
14121,31/07/1996,1996,JUL,7
4147,14/02/2006,2006,FEV,2
4149,21/02/2008,2008,FEV,2
14138,14/09/1984,1984,SET,9
4153,03/08/2005,2005,AGO,8
4155,17/11/2004,2004,NOV,11
12147,10/11/2003,2003,NOV,11
13301,27/08/2001,2001,AGO,8
5346,23/02/1994,1994,FEV,2
5294,21/11/1996,1996,NOV,11
813,05/07/2007,2007,JUL,7
5991,28/05/1993,1993,MAI,5
14142,21/10/1997,1997,OUT,10
2474,12/11/2007,2007,NOV,11
3658,01/07/2008,2008,JUL,7
7348,01/11/2006,2006,NOV,11
15086,13/03/2011,2011,MAR,3
9240,26/11/1987,1987,NOV,11
14152,23/05/1989,1989,MAI,5
4172,10/08/1994,1994,AGO,8
14161,21/02/2000,2000,FEV,2
4176,20/11/2003,2003,NOV,11
4178,23/03/2000,2000,MAR,3
4180,18/11/1974,1974,NOV,11
14174,04/08/2004,2004,AGO,8
9758,05/01/2004,2004,JAN,1
4185,13/01/2009,2009,JAN,1
4163,17/08/2005,2005,AGO,8
4188,12/06/1971,1971,JUN,6
4190,19/12/1994,1994,DEZ,12
4192,09/02/1989,1989,FEV,2
4194,25/09/1990,1990,SET,9
4196,01/03/1997,1997,MAR,3
4198,17/01/2000,2000,JAN,1
10861,19/09/2000,2000,SET,9
15187,21/08/1979,1979,AGO,8
14213,01/10/2004,2004,OUT,10
14144,20/12/1999,1999,DEZ,12
14258,03/04/1997,1997,ABR,4
14222,08/07/1997,1997,JUL,7
3758,05/07/2011,2011,JUL,7
4209,09/03/2011,2011,MAR,3
2425,23/02/2010,2010,FEV,2
13400,17/10/2012,2012,OUT,10
4213,14/04/2011,2011,ABR,4
14236,12/06/1984,1984,JUN,6
14244,21/10/1971,1971,OUT,10
4219,10/10/2007,2007,OUT,10
4221,18/07/1989,1989,JUL,7
14276,18/05/2005,2005,MAI,5
9806,28/03/2008,2008,MAR,3
4226,06/05/2008,2008,MAI,5
3569,18/09/2007,2007,SET,9
14310,09/01/2007,2007,JAN,1
91,23/02/2007,2007,FEV,2
201,23/04/2004,2004,ABR,4
14344,08/03/1983,1983,MAR,3
7499,14/09/2004,2004,SET,9
1081,03/10/2011,2011,OUT,10
10593,12/08/1966,1966,AGO,8
995,31/10/2007,2007,OUT,10
4239,11/06/1996,1996,JUN,6
14361,16/06/1989,1989,JUN,6
4243,02/12/1996,1996,DEZ,12
4245,31/05/2001,2001,MAI,5
14383,24/06/2005,2005,JUN,6
14392,26/11/1984,1984,NOV,11
4251,11/10/1996,1996,OUT,10
14600,19/06/1989,1989,JUN,6
14402,25/07/1985,1985,JUL,7
4256,12/08/2008,2008,AGO,8
31,24/02/2012,2012,FEV,2
4259,10/01/1991,1991,JAN,1
14422,16/06/1993,1993,JUN,6
14990,12/06/1989,1989,JUN,6
4264,28/11/2011,2011,NOV,11
14445,11/05/2007,2007,MAI,5
616,09/07/2007,2007,JUL,7
13707,04/04/1994,1994,ABR,4
3546,09/05/1997,1997,MAI,5
4271,28/08/1995,1995,AGO,8
4273,08/07/2012,2012,JUL,7
14461,17/11/1992,1992,NOV,11
4277,01/04/1993,1993,ABR,4
10011,11/06/1999,1999,JUN,6
12669,23/05/1997,1997,MAI,5
14315,23/06/1981,1981,JUN,6
4282,25/03/2010,2010,MAR,3
13356,05/12/1989,1989,DEZ,12
4285,07/04/2000,2000,ABR,4
14494,21/06/1999,1999,JUN,6
14498,02/03/1978,1978,MAR,3
4291,26/06/1975,1975,JUN,6
14533,23/05/2001,2001,MAI,5
4295,03/12/1991,1991,DEZ,12
14557,26/09/2003,2003,SET,9
4299,29/06/1989,1989,JUN,6
10390,12/08/1987,1987,AGO,8
11455,30/01/1991,1991,JAN,1
4303,25/10/2002,2002,OUT,10
14568,28/05/1999,1999,MAI,5
4307,12/07/1993,1993,JUL,7
14574,25/10/1977,1977,OUT,10
4311,26/11/2004,2004,NOV,11
14583,31/12/2010,2010,DEZ,12
13720,14/04/2005,2005,ABR,4
10445,06/05/1983,1983,MAI,5
12582,08/07/1993,1993,JUL,7
4318,27/04/2004,2004,ABR,4
4320,27/08/1996,1996,AGO,8
4322,17/04/1995,1995,ABR,4
4324,30/06/1997,1997,JUN,6
14603,14/12/1976,1976,DEZ,12
14607,23/12/1994,1994,DEZ,12
11057,04/09/1991,1991,SET,9
6360,09/12/2010,2010,DEZ,12
4332,17/07/2000,2000,JUL,7
14428,25/08/1988,1988,AGO,8
12403,16/01/1975,1975,JAN,1
10796,22/05/1992,1992,MAI,5
4337,09/01/1998,1998,JAN,1
4339,16/08/2004,2004,AGO,8
12888,02/06/1987,1987,JUN,6
14622,23/06/1977,1977,JUN,6
57,16/10/1996,1996,OUT,10
8826,18/06/2003,2003,JUN,6
4346,24/09/2001,2001,SET,9
4348,26/11/2008,2008,NOV,11
12188,24/10/1991,1991,OUT,10
4351,01/08/1991,1991,AGO,8
14641,11/11/1987,1987,NOV,11
13662,06/10/2004,2004,OUT,10
5735,15/12/2005,2005,DEZ,12
2086,09/05/1986,1986,MAI,5
4358,14/02/1995,1995,FEV,2
4360,13/09/2007,2007,SET,9
3465,27/11/1995,1995,NOV,11
12173,01/02/2007,2007,FEV,2
12464,17/09/1999,1999,SET,9
4365,24/02/1972,1972,FEV,2
4367,13/05/1987,1987,MAI,5
7732,21/05/2010,2010,MAI,5
4370,09/05/1989,1989,MAI,5
2272,08/04/1997,1997,ABR,4
4373,08/10/2003,2003,OUT,10
4375,26/11/1991,1991,NOV,11
5363,22/05/2002,2002,MAI,5
4378,04/10/2006,2006,OUT,10
14693,02/01/2011,2011,JAN,1
4382,12/06/1995,1995,JUN,6
14639,29/07/2008,2008,JUL,7
4385,10/01/1984,1984,JAN,1
4387,25/10/2010,2010,OUT,10
6030,21/06/1991,1991,JUN,6
2284,26/09/2007,2007,SET,9
9298,06/10/1997,1997,OUT,10
2942,03/01/1994,1994,JAN,1
1638,11/09/2008,2008,SET,9
4394,26/04/2002,2002,ABR,4
11135,25/10/1996,1996,OUT,10
14704,20/04/2009,2009,ABR,4
14715,25/04/1979,1979,ABR,4
4401,21/08/2006,2006,AGO,8
4403,29/03/2011,2011,MAR,3
14741,17/11/1999,1999,NOV,11
14753,25/09/1986,1986,SET,9
4409,09/10/2009,2009,OUT,10
4411,04/09/2007,2007,SET,9
4413,10/02/1988,1988,FEV,2
14777,22/12/2005,2005,DEZ,12
14785,13/11/1991,1991,NOV,11
11494,01/03/1978,1978,MAR,3
4420,20/07/1999,1999,JUL,7
14803,09/04/1969,1969,ABR,4
14806,20/11/1987,1987,NOV,11
8306,24/11/2006,2006,NOV,11
14818,23/12/1982,1982,DEZ,12
15012,19/03/1990,1990,MAR,3
14836,16/08/2002,2002,AGO,8
14849,06/03/1974,1974,MAR,3
4434,21/02/2006,2006,FEV,2
4436,04/07/1997,1997,JUL,7
11762,06/06/2000,2000,JUN,6
12425,24/11/1992,1992,NOV,11
4440,18/08/1988,1988,AGO,8
4442,31/08/2003,2003,AGO,8
7482,27/06/1990,1990,JUN,6
14865,27/06/1994,1994,JUN,6
1267,03/10/1995,1995,OUT,10
4448,20/05/1983,1983,MAI,5
4450,02/10/1981,1981,OUT,10
4452,25/06/1985,1985,JUN,6
11006,23/08/1985,1985,AGO,8
14873,26/04/1994,1994,ABR,4
4457,14/05/1991,1991,MAI,5
12961,03/07/2006,2006,JUL,7
14884,14/09/1983,1983,SET,9
3497,16/11/2005,2005,NOV,11
4463,02/05/1988,1988,MAI,5
14888,10/10/1989,1989,OUT,10
4467,03/05/1983,1983,MAI,5
360,06/01/1986,1986,JAN,1
4470,12/12/2007,2007,DEZ,12
4472,25/01/1988,1988,JAN,1
1103,16/02/1993,1993,FEV,2
3243,13/05/2010,2010,MAI,5
4476,03/09/2003,2003,SET,9
14390,31/08/2004,2004,AGO,8
11180,05/03/1992,1992,MAR,3
4480,22/12/2008,2008,DEZ,12
4482,27/12/1974,1974,DEZ,12
4484,11/08/2006,2006,AGO,8
4486,03/04/1996,1996,ABR,4
12136,11/11/1994,1994,NOV,11
4489,18/10/2002,2002,OUT,10
14890,13/09/1977,1977,SET,9
4492,26/10/2001,2001,OUT,10
11500,29/07/1986,1986,JUL,7
10382,06/01/1988,1988,JAN,1
4496,12/08/2010,2010,AGO,8
2092,30/10/2007,2007,OUT,10
4499,26/01/2011,2011,JAN,1
1634,30/07/2012,2012,JUL,7
111,06/10/2010,2010,OUT,10
12594,27/08/2003,2003,AGO,8
4415,12/01/1987,1987,JAN,1
221,01/06/2012,2012,JUN,6
9404,15/01/1969,1969,JAN,1
2222,27/08/2010,2010,AGO,8
4508,24/12/2008,2008,DEZ,12
