pk_endereco,nm_logradouro,nu_logradouro,nm_bairro,nm_municipio,cd_cep,sg_uf,vl_latitude,vl_longitude
2727,ESTRADA DOS OFICIAIS,27,FLORES,MANAUS,69082230,AM,"-3,0487951","-60,0143095"
2729,RUA CONEGO EZEQUIAS,234,VILA ROSALIA,GUARULHOS,07064030,SP,"-23,4490182","-46,5531267"
2731,RUA ANDRE MENDES,112,JARDIM DA SAUDE,SAO PAULO,04149110,SP,"-23,6152519","-46,621715"
2733,COMUNIDADE MAXIXE I,-,ZONA RURAL,ITAINOPOLIS,64565000,PI,"-7,443763","-41,4690844"
2735,TRAVESSA APOLINARIO SANTANA,34,ENGENHO VELHO DA FEDERACAO,SALVADOR,40220110,BA,"-13,0023542","-38,5002895"
2737,RODOVIA BR 459,-,SEDE,PIQUETE,12620000,SP,"-22,6141439","-45,1774096"
2738,AVENIDA JABAQUARA,2958,PLANALTO PAULISTA,SAO PAULO,04045000,SP,"-23,6283234","-46,6449848"
2740,TRECHO NEUSA VIDAL,67,VILA AMIZADE,RIO BRANCO,69909660,AC,"-9,975377","-67,8248977"
2741,RUA VIRGILIO M DE OLIVEIRA,479,CENTRO,FRANCISCO MORATO,07901020,SP,"-23,2811024","-46,7477746"
2743,POVOADO BELA VISTA,SN,ZONA RURAL,SANTA LUZIA,65390000,MA,"-3,9697934","-45,6635644"
2744,AVENIDA DAS AMERICAS,10101,BARRA DA TIJUCA,RIO DE JANEIRO,22631000,RJ,"-23,0010182","-43,4164567"
2746,RODOVIA BR 101,SN,ZONA RURAL,GOVERNADOR MANGABEIRA,44350000,BA,"-12,5991299","-39,0210124"
2747,RUA ALCIDIO GOMES,13,JARDIM DAS FONTES,SAO PAULO,04894420,SP,"-23,8671386","-46,7525342"
2749,TRECHO EUCLIDES DE MATOS,40,LARANJEIRAS,RIO DE JANEIRO,22240010,RJ,"-22,9331259","-43,1814428"
2751,RUA ANTONIO PEREIRA DE ANDRADE,126,VILA APARECIDA,TAUBATE,12052072,SP,"-23,0151009","-45,5662888"
